NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
440.5,210,2115,0,0,837,632,401,
441.5,386,2041,0,0,649,615,377,
442.5,684,1966,0,0,499,630,361,
443.5,1172,1891,0,0,380,689,369,
444.5,1940,1816,0,0,288,809,440,
445.5,3101,1741,0,0,216,1012,616,
446.5,4790,1667,0,0,161,1323,922,
447.5,7147,1593,0,0,119,1772,1377,
448.5,10307,1520,0,0,87,2383,2002,
449.5,14365,1449,0,0,63,3175,2811,
450.5,19353,1378,0,0,46,4155,3809,
451.5,25207,1309,0,0,33,5310,4981,
452.5,31747,1241,0,0,23,6602,6291,
453.5,38666,1175,0,0,16,7971,7677,
454.5,45548,1111,0,0,11,9334,9056,
455.5,51903,1049,0,0,8,10592,10330,
456.5,57222,989,0,0,5,11643,11396,
457.5,61043,930,0,0,4,12396,12163,
458.5,63021,874,0,0,3,12779,12561,
459.5,62973,820,0,0,2,12759,12555,
460.5,60914,769,0,0,1,12337,12145,
461.5,57047,719,0,0,0,11553,11374,
462.5,51733,672,0,0,0,10481,10314,
463.5,45434,626,0,0,0,9212,9056,
464.5,38647,583,0,0,0,7846,7701,
465.5,31847,542,0,0,0,6478,6343,
466.5,25425,504,0,0,0,5186,5061,
467.5,19669,467,0,0,0,4027,3912,
468.5,14746,432,0,0,0,3036,2929,
469.5,10716,400,0,0,0,2223,2125,
470.5,7548,369,0,0,0,1583,1493,
471.5,5155,340,0,0,0,1099,1016,
472.5,3414,313,0,0,0,745,670,
473.5,2192,288,0,0,0,496,428,
474.5,1366,264,0,0,0,326,265,
475.5,825,242,0,0,0,213,160,
476.5,484,221,0,0,0,141,96,
477.5,275,202,0,0,0,96,60,
478.5,152,185,0,0,0,67,42,
479.5,81,168,0,0,0,50,34,
480.5,42,153,0,0,0,39,30,
481.5,21,139,0,0,0,32,27,
482.5,10,126,0,0,0,27,25,
483.5,5,115,0,0,0,24,23,
484.5,2,104,0,0,0,21,21,
485.5,1,94,0,0,0,19,19,
