NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
260.5,0,21506,984,0,137,4526,4249,
261.5,0,21908,921,0,91,4584,4334,
262.5,0,22277,864,0,60,4640,4412,
263.5,0,22608,810,0,40,4692,4482,
264.5,0,22897,761,0,26,4737,4542,
265.5,0,23138,715,0,17,4774,4593,
266.5,0,23328,672,2,11,4802,4633,
267.5,0,23462,632,3,7,4821,4662,
268.5,0,23536,595,4,5,4828,4678,
269.5,0,23547,560,7,3,4823,4682,
270.5,0,23493,527,11,2,4807,4673,
271.5,0,23371,497,18,1,4777,4649,
272.5,0,23179,468,29,0,4735,4612,
273.5,0,22918,441,45,0,4681,4560,
274.5,0,22587,415,68,0,4614,4494,
275.5,0,22187,391,104,0,4536,4413,
276.5,0,21720,368,155,0,4449,4318,
277.5,0,21188,346,228,0,4352,4209,
278.5,0,20596,326,330,0,4250,4087,
279.5,0,19946,307,471,0,4145,3951,
280.5,0,19245,288,664,0,4039,3803,
281.5,0,18498,271,920,0,3938,3644,
282.5,0,17710,254,1255,0,3844,3474,
283.5,0,16889,238,1686,0,3763,3297,
284.5,0,16041,224,2229,0,3699,3114,
285.5,0,15174,209,2900,0,3656,2931,
286.5,0,14293,196,3710,0,3640,2755,
287.5,0,13407,183,4668,0,3652,2597,
288.5,0,12523,171,5775,0,3694,2470,
289.5,0,11646,160,7025,0,3766,2388,
290.5,0,10783,149,8401,0,3867,2368,
291.5,0,9941,139,9875,0,3991,2416,
292.5,0,9123,129,11407,0,4132,2530,
293.5,0,8336,120,12948,0,4281,2698,
294.5,0,7581,111,14442,0,4427,2899,
295.5,0,6864,103,15825,0,4558,3112,
296.5,0,6186,95,17035,0,4663,3315,
297.5,0,5549,88,18012,0,4730,3488,
298.5,0,4955,81,18707,0,4749,3618,
299.5,0,4404,75,19082,0,4712,3691,
300.5,0,3896,69,19116,0,4616,3702,
301.5,0,3430,63,18806,0,4460,3647,
302.5,0,3005,58,18168,0,4246,3528,
303.5,0,2621,53,17235,0,3982,3352,
304.5,0,2275,49,16055,0,3676,3126,
305.5,0,1965,44,14684,0,3339,2861,
306.5,0,1689,41,13187,0,2983,2571,
307.5,0,1445,37,11627,0,2622,2268,
308.5,0,1231,34,10066,0,2266,1964,
309.5,0,1043,30,8556,0,1926,1670,
310.5,0,880,28,7140,0,1609,1393,
311.5,0,738,25,5850,0,1323,1141,
312.5,0,617,23,4706,0,1069,917,
313.5,0,513,20,3717,0,850,723,
314.5,0,424,18,2883,0,665,560,
315.5,0,349,17,2195,0,512,426,
316.5,0,286,15,1641,0,388,318,
317.5,0,233,13,1205,0,290,233,
318.5,0,189,12,868,0,214,167,
319.5,0,153,11,615,0,156,118,
320.5,0,123,10,427,0,112,82,
321.5,0,98,8,291,0,80,56,
322.5,0,78,8,195,1,56,38,
323.5,0,62,7,129,2,40,25,
324.5,0,49,6,83,2,28,16,
325.5,0,38,5,53,4,20,11,
326.5,0,30,5,33,5,15,7,
327.5,0,23,4,20,7,11,5,
328.5,0,18,4,12,11,9,3,
329.5,0,14,3,7,16,8,3,
330.5,0,11,3,4,23,8,4,
331.5,0,8,2,2,33,9,6,
332.5,0,6,2,1,47,11,9,
333.5,0,5,2,0,67,15,13,
334.5,0,4,2,0,94,20,19,
335.5,0,3,1,0,133,27,26,
336.5,0,2,1,0,185,38,37,
337.5,0,1,1,0,257,52,51,
338.5,0,1,0,0,354,71,71,
339.5,0,0,0,0,484,97,97,
340.5,0,0,0,0,655,131,131,
341.5,0,0,0,0,881,176,176,
342.5,0,0,0,0,1174,235,235,
343.5,0,0,0,0,1551,310,310,
344.5,0,0,0,0,2029,406,406,
345.5,0,0,0,0,2631,526,526,
346.5,0,0,0,0,3378,676,676,
347.5,0,0,0,0,4296,859,859,
348.5,0,0,0,0,5409,1082,1082,
349.5,0,0,0,0,6743,1349,1349,
350.5,0,0,0,0,8319,1664,1664,
351.5,0,0,0,0,10158,2032,2032,
352.5,0,0,0,0,12273,2455,2455,
353.5,0,0,0,0,14673,2935,2935,
354.5,0,0,0,0,17356,3471,3471,
355.5,0,0,0,0,20308,4062,4062,
356.5,0,0,0,0,23505,4701,4701,
357.5,0,0,0,0,26909,5382,5382,
358.5,0,0,0,0,30469,6094,6094,
359.5,0,0,0,0,34119,6824,6824,
360.5,0,0,0,0,37783,7557,7557,
361.5,0,0,0,0,41376,8275,8275,
362.5,0,0,0,0,44804,8961,8961,
363.5,0,0,0,0,47974,9595,9595,
364.5,0,0,0,0,50792,10158,10158,
365.5,0,0,0,0,53170,10634,10634,
366.5,0,0,0,0,55033,11007,11007,
367.5,0,0,0,0,56319,11264,11264,
368.5,0,0,0,0,56984,11397,11397,
369.5,0,0,0,0,57005,11401,11401,
370.5,0,0,0,0,56382,11276,11276,
371.5,0,0,0,0,55136,11027,11027,
372.5,0,0,0,0,53307,10661,10661,
373.5,0,0,0,0,50958,10192,10192,
374.5,0,0,0,0,48162,9632,9632,
375.5,0,0,0,0,45007,9001,9001,
376.5,0,0,0,0,41584,8317,8317,
377.5,0,0,0,0,37990,7598,7598,
378.5,0,0,0,0,34317,6863,6863,
379.5,0,0,0,0,30651,6130,6130,
380.5,0,0,0,0,27071,5414,5414,
381.5,0,0,0,0,23642,4728,4728,
382.5,0,0,0,0,20417,4083,4083,
383.5,0,0,0,0,17436,3487,3487,
384.5,0,0,0,0,14726,2945,2945,
385.5,0,0,0,0,12299,2460,2460,
386.5,0,0,0,0,10159,2032,2032,
387.5,0,0,0,0,8299,1660,1660,
388.5,0,0,0,0,6705,1341,1341,
389.5,0,0,0,0,5358,1072,1072,
390.5,0,0,0,0,4235,847,847,
391.5,0,0,0,0,3311,662,662,
392.5,0,0,0,0,2560,512,512,
393.5,0,0,0,0,1959,392,392,
394.5,0,0,0,0,1482,296,296,
395.5,0,0,0,0,1110,222,222,
396.5,0,0,0,0,822,164,164,
397.5,0,0,0,0,602,120,120,
398.5,0,0,0,0,437,87,87,
399.5,0,0,0,0,313,63,63,
400.5,0,0,0,0,222,44,44,
401.5,0,0,0,0,156,31,31,
402.5,0,0,0,0,109,22,22,
403.5,0,0,0,0,75,15,15,
404.5,0,0,0,0,51,10,10,
405.5,0,0,0,0,34,7,7,
406.5,0,0,0,0,23,5,5,
407.5,0,0,0,0,15,3,3,
408.5,0,0,0,0,10,2,2,
409.5,0,0,0,0,6,1,1,
410.5,0,0,0,0,4,0,0,
411.5,0,0,0,0,3,0,0,
412.5,0,0,0,0,2,0,0,
413.5,0,0,0,0,1,0,0,
414.5,0,0,0,0,0,0,0,
415.5,0,0,0,0,0,0,0,
416.5,0,0,0,0,0,0,0,
417.5,0,0,0,0,0,0,0,
418.5,0,0,0,0,0,0,0,
419.5,0,0,0,0,0,0,0,
420.5,0,0,0,0,0,0,0,
421.5,0,0,0,0,0,0,0,
422.5,0,0,0,0,0,0,0,
423.5,0,0,0,0,0,0,0,
424.5,0,0,0,0,0,0,0,
425.5,0,0,0,0,0,0,0,
426.5,0,0,0,0,0,0,0,
427.5,0,0,0,0,0,0,0,
428.5,0,0,0,0,0,0,0,
429.5,0,0,0,0,0,0,0,
430.5,0,0,0,0,0,0,0,
431.5,0,0,0,0,0,0,0,
432.5,0,0,0,0,0,0,0,
433.5,0,0,0,0,0,0,0,
434.5,0,0,0,0,0,0,0,
435.5,0,0,0,0,0,0,0,
436.5,0,0,0,0,0,0,0,
437.5,0,0,0,0,0,0,0,
438.5,0,0,0,0,0,0,0,
439.5,0,0,0,0,0,0,0,
440.5,0,0,0,0,0,0,0,
441.5,0,0,0,0,0,0,0,
442.5,0,0,0,0,0,0,0,
443.5,0,0,0,0,0,0,0,
444.5,0,0,0,0,0,0,0,
445.5,0,0,0,0,0,0,0,
446.5,0,0,0,0,0,0,0,
447.5,0,0,0,0,0,0,0,
448.5,0,0,0,0,0,0,0,
449.5,0,0,0,0,0,0,0,
450.5,0,0,0,0,0,0,0,
451.5,0,0,0,0,0,0,0,
452.5,0,0,0,0,0,0,0,
453.5,0,0,0,0,0,0,0,
454.5,0,0,0,0,0,0,0,
455.5,0,0,0,0,0,0,0,
456.5,0,0,0,0,0,0,0,
457.5,0,0,0,0,0,0,0,
458.5,0,0,0,0,0,0,0,
459.5,0,0,0,0,0,0,0,
460.5,0,0,0,0,0,0,0,
461.5,0,0,0,0,0,0,0,
462.5,0,0,0,0,0,0,0,
463.5,0,0,0,0,0,0,0,
464.5,0,0,0,0,0,0,0,
465.5,0,0,0,0,0,0,0,
466.5,0,0,0,0,0,0,0,
467.5,0,0,0,0,0,0,0,
468.5,0,0,0,0,0,0,0,
469.5,0,0,0,0,0,0,0,
470.5,0,0,0,0,0,0,0,
471.5,0,0,0,0,0,0,0,
472.5,0,0,0,0,0,0,0,
473.5,0,0,0,0,0,0,0,
474.5,0,0,0,0,0,0,0,
475.5,0,0,0,0,0,0,0,
476.5,0,0,0,0,0,0,0,
477.5,0,0,0,0,0,0,0,
478.5,0,0,0,0,0,0,0,
479.5,0,0,0,0,0,0,0,
480.5,0,0,0,0,0,0,0,
481.5,0,0,0,0,0,0,0,
482.5,0,0,0,0,0,0,0,
483.5,0,0,0,0,0,0,0,
484.5,0,0,0,0,0,0,0,
485.5,0,0,0,0,0,0,0,
486.5,0,0,0,0,0,0,0,
487.5,0,0,0,0,0,0,0,
488.5,0,0,0,0,0,0,0,
489.5,0,0,0,0,0,0,0,
490.5,0,0,0,0,0,0,0,
491.5,0,0,0,0,0,0,0,
492.5,0,0,0,0,0,0,0,
493.5,0,0,0,0,0,0,0,
494.5,0,0,0,0,0,0,0,
495.5,0,0,0,0,0,0,0,
496.5,0,0,0,0,0,0,0,
497.5,0,0,0,0,0,0,0,
498.5,0,0,0,0,0,0,0,
499.5,0,0,0,0,0,0,0,
500.5,0,0,0,0,0,0,0,
501.5,0,0,0,0,0,0,0,
502.5,0,0,0,0,0,0,0,
503.5,0,0,0,0,0,0,0,
